,date,value
0,2020-10-01 00:00:00,-28
1,2020-10-01 01:00:00,0
2,2020-10-01 02:00:00,51
3,2020-10-01 03:00:00,41
4,2020-10-01 04:00:00,15
5,2020-10-01 05:00:00,-8
6,2020-10-01 06:00:00,3
7,2020-10-01 07:00:00,0
8,2020-10-01 08:00:00,-4
9,2020-10-01 09:00:00,-3
10,2020-10-01 10:00:00,8
11,2020-10-01 11:00:00,-6
12,2020-10-01 12:00:00,10
13,2020-10-01 13:00:00,-1
14,2020-10-01 14:00:00,0
15,2020-10-01 15:00:00,13
16,2020-10-01 16:00:00,7
17,2020-10-01 17:00:00,5
18,2020-10-01 18:00:00,1
19,2020-10-01 19:00:00,20
20,2020-10-01 20:00:00,-1
21,2020-10-01 21:00:00,-24
22,2020-10-01 22:00:00,10
23,2020-10-01 23:00:00,-6
24,2020-10-02 00:00:00,0
25,2020-10-02 01:00:00,0
26,2020-10-02 02:00:00,49
27,2020-10-02 03:00:00,-41
28,2020-10-02 04:00:00,-22
29,2020-10-02 05:00:00,2
30,2020-10-02 06:00:00,-1
31,2020-10-02 07:00:00,-1
32,2020-10-02 08:00:00,-3
33,2020-10-02 09:00:00,-4
34,2020-10-02 10:00:00,-7
35,2020-10-02 11:00:00,8
36,2020-10-02 12:00:00,-6
37,2020-10-02 13:00:00,-4
38,2020-10-02 14:00:00,-2
39,2020-10-02 15:00:00,-15
40,2020-10-02 16:00:00,-5
41,2020-10-02 17:00:00,3
42,2020-10-02 18:00:00,-15
43,2020-10-02 19:00:00,-11
44,2020-10-02 20:00:00,-2
45,2020-10-02 21:00:00,8
46,2020-10-02 22:00:00,-7
47,2020-10-02 23:00:00,18
48,2020-10-03 00:00:00,73
49,2020-10-03 01:00:00,0
50,2020-10-03 02:00:00,-85
51,2020-10-03 03:00:00,0
52,2020-10-03 04:00:00,37
53,2020-10-03 05:00:00,19
54,2020-10-03 06:00:00,-5
55,2020-10-03 07:00:00,4
56,2020-10-03 08:00:00,16
57,2020-10-03 09:00:00,-5
58,2020-10-03 10:00:00,11
59,2020-10-03 11:00:00,4
60,2020-10-03 12:00:00,0
61,2020-10-03 13:00:00,6
62,2020-10-03 14:00:00,-9
63,2020-10-03 15:00:00,-4
64,2020-10-03 16:00:00,3
65,2020-10-03 17:00:00,6
66,2020-10-03 18:00:00,19
67,2020-10-03 19:00:00,7
68,2020-10-03 20:00:00,1
69,2020-10-03 21:00:00,6
70,2020-10-03 22:00:00,3
71,2020-10-03 23:00:00,-34
