,date,value
0,2020-10-01 00:00:00,50
1,2020-10-01 01:00:00,0
2,2020-10-01 02:00:00,0
3,2020-10-01 03:00:00,-28
4,2020-10-01 04:00:00,17
5,2020-10-01 05:00:00,-16
6,2020-10-01 06:00:00,-4
7,2020-10-01 07:00:00,7
8,2020-10-01 08:00:00,0
9,2020-10-01 09:00:00,-1
10,2020-10-01 10:00:00,1
11,2020-10-01 11:00:00,-3
12,2020-10-01 12:00:00,5
13,2020-10-01 13:00:00,4
14,2020-10-01 14:00:00,5
15,2020-10-01 15:00:00,4
16,2020-10-01 16:00:00,12
17,2020-10-01 17:00:00,-11
18,2020-10-01 18:00:00,0
19,2020-10-01 19:00:00,-5
20,2020-10-01 20:00:00,0
21,2020-10-01 21:00:00,0
22,2020-10-01 22:00:00,0
23,2020-10-01 23:00:00,-29
24,2020-10-02 00:00:00,-50
25,2020-10-02 01:00:00,0
26,2020-10-02 02:00:00,0
27,2020-10-02 03:00:00,0
28,2020-10-02 04:00:00,-28
29,2020-10-02 05:00:00,6
30,2020-10-02 06:00:00,2
31,2020-10-02 07:00:00,-4
32,2020-10-02 08:00:00,7
33,2020-10-02 09:00:00,5
34,2020-10-02 10:00:00,4
35,2020-10-02 11:00:00,-3
36,2020-10-02 12:00:00,-5
37,2020-10-02 13:00:00,-7
38,2020-10-02 14:00:00,-5
39,2020-10-02 15:00:00,0
40,2020-10-02 16:00:00,-11
41,2020-10-02 17:00:00,-2
42,2020-10-02 18:00:00,5
43,2020-10-02 19:00:00,-4
44,2020-10-02 20:00:00,5
45,2020-10-02 21:00:00,8
46,2020-10-02 22:00:00,50
47,2020-10-02 23:00:00,0
48,2020-10-03 00:00:00,36
49,2020-10-03 01:00:00,0
50,2020-10-03 02:00:00,0
51,2020-10-03 03:00:00,0
52,2020-10-03 04:00:00,-9
53,2020-10-03 05:00:00,-6
54,2020-10-03 06:00:00,3
55,2020-10-03 07:00:00,8
56,2020-10-03 08:00:00,1
57,2020-10-03 09:00:00,-8
58,2020-10-03 10:00:00,2
59,2020-10-03 11:00:00,3
60,2020-10-03 12:00:00,2
61,2020-10-03 13:00:00,0
62,2020-10-03 14:00:00,0
63,2020-10-03 15:00:00,-9
64,2020-10-03 16:00:00,1
65,2020-10-03 17:00:00,4
66,2020-10-03 18:00:00,-9
67,2020-10-03 19:00:00,-5
68,2020-10-03 20:00:00,3
69,2020-10-03 21:00:00,4
70,2020-10-03 22:00:00,-50
71,2020-10-03 23:00:00,0
72,2020-10-04 00:00:00,-15
73,2020-10-04 01:00:00,0
74,2020-10-04 02:00:00,0
75,2020-10-04 03:00:00,0
76,2020-10-04 04:00:00,0
77,2020-10-04 05:00:00,16
78,2020-10-04 06:00:00,4
79,2020-10-04 07:00:00,1
80,2020-10-04 08:00:00,5
81,2020-10-04 09:00:00,3
82,2020-10-04 10:00:00,-6
83,2020-10-04 11:00:00,-1
84,2020-10-04 12:00:00,6
85,2020-10-04 13:00:00,7
86,2020-10-04 14:00:00,-5
87,2020-10-04 15:00:00,7
88,2020-10-04 16:00:00,-3
89,2020-10-04 17:00:00,3
90,2020-10-04 18:00:00,-3
91,2020-10-04 19:00:00,10
92,2020-10-04 20:00:00,2
93,2020-10-04 21:00:00,-12
94,2020-10-04 22:00:00,0
95,2020-10-04 23:00:00,0
96,2020-10-05 00:00:00,5
97,2020-10-05 01:00:00,100
98,2020-10-05 02:00:00,72
99,2020-10-05 03:00:00,0
100,2020-10-05 04:00:00,0
101,2020-10-05 05:00:00,-4
102,2020-10-05 06:00:00,-7
103,2020-10-05 07:00:00,-4
104,2020-10-05 08:00:00,-7
105,2020-10-05 09:00:00,-4
106,2020-10-05 10:00:00,-1
107,2020-10-05 11:00:00,7
108,2020-10-05 12:00:00,-4
109,2020-10-05 13:00:00,0
110,2020-10-05 14:00:00,5
111,2020-10-05 15:00:00,-4
112,2020-10-05 16:00:00,3
113,2020-10-05 17:00:00,-3
114,2020-10-05 18:00:00,6
115,2020-10-05 19:00:00,-4
116,2020-10-05 20:00:00,-6
117,2020-10-05 21:00:00,0
118,2020-10-05 22:00:00,0
119,2020-10-05 23:00:00,0
120,2020-10-06 00:00:00,-26
121,2020-10-06 01:00:00,-100
122,2020-10-06 02:00:00,-36
123,2020-10-06 03:00:00,0
124,2020-10-06 04:00:00,22
125,2020-10-06 05:00:00,14
126,2020-10-06 06:00:00,-3
127,2020-10-06 07:00:00,10
128,2020-10-06 08:00:00,0
129,2020-10-06 09:00:00,9
130,2020-10-06 10:00:00,6
131,2020-10-06 11:00:00,-1
132,2020-10-06 12:00:00,1
133,2020-10-06 13:00:00,-7
134,2020-10-06 14:00:00,-5
135,2020-10-06 15:00:00,-3
136,2020-10-06 16:00:00,0
137,2020-10-06 17:00:00,4
138,2020-10-06 18:00:00,2
139,2020-10-06 19:00:00,-9
140,2020-10-06 20:00:00,7
141,2020-10-06 21:00:00,7
142,2020-10-06 22:00:00,12
143,2020-10-06 23:00:00,0
144,2020-10-07 00:00:00,40
145,2020-10-07 01:00:00,0
146,2020-10-07 02:00:00,-51
147,2020-10-07 03:00:00,72
148,2020-10-07 04:00:00,32
149,2020-10-07 05:00:00,-15
150,2020-10-07 06:00:00,10
151,2020-10-07 07:00:00,-17
152,2020-10-07 08:00:00,1
153,2020-10-07 09:00:00,-7
154,2020-10-07 10:00:00,-15
155,2020-10-07 11:00:00,-15
156,2020-10-07 12:00:00,-3
157,2020-10-07 13:00:00,11
158,2020-10-07 14:00:00,14
159,2020-10-07 15:00:00,7
160,2020-10-07 16:00:00,6
161,2020-10-07 17:00:00,-14
162,2020-10-07 18:00:00,2
163,2020-10-07 19:00:00,15
164,2020-10-07 20:00:00,-10
165,2020-10-07 21:00:00,-10
166,2020-10-07 22:00:00,43
167,2020-10-07 23:00:00,0
168,2020-10-08 00:00:00,38
169,2020-10-08 01:00:00,94
170,2020-10-08 02:00:00,0
171,2020-10-08 03:00:00,-34
172,2020-10-08 04:00:00,-46
173,2020-10-08 05:00:00,-23
174,2020-10-08 06:00:00,-9
175,2020-10-08 07:00:00,-9
176,2020-10-08 08:00:00,6
177,2020-10-08 09:00:00,-2
178,2020-10-08 10:00:00,0
179,2020-10-08 11:00:00,2
180,2020-10-08 12:00:00,-8
181,2020-10-08 13:00:00,-7
182,2020-10-08 14:00:00,-5
183,2020-10-08 15:00:00,-7
184,2020-10-08 16:00:00,-12
185,2020-10-08 17:00:00,13
186,2020-10-08 18:00:00,-14
187,2020-10-08 19:00:00,-10
188,2020-10-08 20:00:00,5
189,2020-10-08 21:00:00,38
190,2020-10-08 22:00:00,-60
191,2020-10-08 23:00:00,25
192,2020-10-09 00:00:00,-78
193,2020-10-09 01:00:00,-94
194,2020-10-09 02:00:00,0
