,date,value
0,2020-10-01 00:00:00,-7
1,2020-10-01 01:00:00,89
2,2020-10-01 02:00:00,0
3,2020-10-01 03:00:00,0
4,2020-10-01 04:00:00,8
5,2020-10-01 05:00:00,-7
6,2020-10-01 06:00:00,-16
7,2020-10-01 07:00:00,5
8,2020-10-01 08:00:00,-12
9,2020-10-01 09:00:00,5
10,2020-10-01 10:00:00,-5
11,2020-10-01 11:00:00,15
12,2020-10-01 12:00:00,0
13,2020-10-01 13:00:00,5
14,2020-10-01 14:00:00,7
15,2020-10-01 15:00:00,-7
16,2020-10-01 16:00:00,-12
17,2020-10-01 17:00:00,-1
18,2020-10-01 18:00:00,3
19,2020-10-01 19:00:00,-2
20,2020-10-01 20:00:00,4
21,2020-10-01 21:00:00,1
22,2020-10-01 22:00:00,17
23,2020-10-01 23:00:00,-21
24,2020-10-02 00:00:00,-40
25,2020-10-02 01:00:00,7
26,2020-10-02 02:00:00,0
27,2020-10-02 03:00:00,97
28,2020-10-02 04:00:00,10
29,2020-10-02 05:00:00,-3
30,2020-10-02 06:00:00,8
31,2020-10-02 07:00:00,-12
32,2020-10-02 08:00:00,-2
33,2020-10-02 09:00:00,-16
34,2020-10-02 10:00:00,12
35,2020-10-02 11:00:00,-6
36,2020-10-02 12:00:00,-4
37,2020-10-02 13:00:00,-12
38,2020-10-02 14:00:00,-2
39,2020-10-02 15:00:00,5
40,2020-10-02 16:00:00,7
41,2020-10-02 17:00:00,-2
42,2020-10-02 18:00:00,-13
43,2020-10-02 19:00:00,-4
44,2020-10-02 20:00:00,1
45,2020-10-02 21:00:00,2
46,2020-10-02 22:00:00,-4
47,2020-10-02 23:00:00,-2
48,2020-10-03 00:00:00,0
49,2020-10-03 01:00:00,-96
50,2020-10-03 02:00:00,0
51,2020-10-03 03:00:00,-97
52,2020-10-03 04:00:00,25
53,2020-10-03 05:00:00,8
54,2020-10-03 06:00:00,1
55,2020-10-03 07:00:00,13
56,2020-10-03 08:00:00,9
57,2020-10-03 09:00:00,17
58,2020-10-03 10:00:00,4
59,2020-10-03 11:00:00,5
60,2020-10-03 12:00:00,18
61,2020-10-03 13:00:00,5
62,2020-10-03 14:00:00,6
63,2020-10-03 15:00:00,-5
64,2020-10-03 16:00:00,1
65,2020-10-03 17:00:00,-5
66,2020-10-03 18:00:00,15
67,2020-10-03 19:00:00,7
68,2020-10-03 20:00:00,-7
69,2020-10-03 21:00:00,2
70,2020-10-03 22:00:00,-7
71,2020-10-03 23:00:00,-29
72,2020-10-04 00:00:00,19
73,2020-10-04 01:00:00,0
74,2020-10-04 02:00:00,0
75,2020-10-04 03:00:00,0
76,2020-10-04 04:00:00,-43
77,2020-10-04 05:00:00,-12
78,2020-10-04 06:00:00,-7
79,2020-10-04 07:00:00,-2
80,2020-10-04 08:00:00,0
81,2020-10-04 09:00:00,-3
82,2020-10-04 10:00:00,-1
83,2020-10-04 11:00:00,-1
84,2020-10-04 12:00:00,-17
85,2020-10-04 13:00:00,4
86,2020-10-04 14:00:00,-9
87,2020-10-04 15:00:00,-8
88,2020-10-04 16:00:00,5
89,2020-10-04 17:00:00,8
90,2020-10-04 18:00:00,1
91,2020-10-04 19:00:00,-5
92,2020-10-04 20:00:00,12
93,2020-10-04 21:00:00,4
94,2020-10-04 22:00:00,35
95,2020-10-04 23:00:00,18
96,2020-10-05 00:00:00,-19
97,2020-10-05 01:00:00,0
98,2020-10-05 02:00:00,81
99,2020-10-05 03:00:00,0
100,2020-10-05 04:00:00,0
101,2020-10-05 05:00:00,6
102,2020-10-05 06:00:00,7
103,2020-10-05 07:00:00,5
104,2020-10-05 08:00:00,-1
105,2020-10-05 09:00:00,0
106,2020-10-05 10:00:00,-7
107,2020-10-05 11:00:00,-8
108,2020-10-05 12:00:00,0
109,2020-10-05 13:00:00,-3
110,2020-10-05 14:00:00,11
111,2020-10-05 15:00:00,12
112,2020-10-05 16:00:00,2
113,2020-10-05 17:00:00,-1
114,2020-10-05 18:00:00,-2
115,2020-10-05 19:00:00,5
116,2020-10-05 20:00:00,-10
117,2020-10-05 21:00:00,2
118,2020-10-05 22:00:00,-38
119,2020-10-05 23:00:00,-18
120,2020-10-06 00:00:00,45
121,2020-10-06 01:00:00,38
122,2020-10-06 02:00:00,-81
123,2020-10-06 03:00:00,29
124,2020-10-06 04:00:00,0
125,2020-10-06 05:00:00,-6
126,2020-10-06 06:00:00,-1
127,2020-10-06 07:00:00,0
128,2020-10-06 08:00:00,-5
129,2020-10-06 09:00:00,-6
130,2020-10-06 10:00:00,2
131,2020-10-06 11:00:00,-3
132,2020-10-06 12:00:00,5
133,2020-10-06 13:00:00,8
134,2020-10-06 14:00:00,-4
135,2020-10-06 15:00:00,-4
136,2020-10-06 16:00:00,-2
137,2020-10-06 17:00:00,0
138,2020-10-06 18:00:00,2
139,2020-10-06 19:00:00,1
140,2020-10-06 20:00:00,8
141,2020-10-06 21:00:00,-16
142,2020-10-06 22:00:00,-15
143,2020-10-06 23:00:00,16
144,2020-10-07 00:00:00,-12
145,2020-10-07 01:00:00,24
146,2020-10-07 02:00:00,0
147,2020-10-07 03:00:00,-29
148,2020-10-07 04:00:00,0
149,2020-10-07 05:00:00,8
150,2020-10-07 06:00:00,5
151,2020-10-07 07:00:00,1
152,2020-10-07 08:00:00,3
153,2020-10-07 09:00:00,4
154,2020-10-07 10:00:00,-2
155,2020-10-07 11:00:00,10
156,2020-10-07 12:00:00,1
157,2020-10-07 13:00:00,-8
158,2020-10-07 14:00:00,3
159,2020-10-07 15:00:00,2
160,2020-10-07 16:00:00,3
161,2020-10-07 17:00:00,-3
162,2020-10-07 18:00:00,-5
163,2020-10-07 19:00:00,-5
164,2020-10-07 20:00:00,-6
165,2020-10-07 21:00:00,0
166,2020-10-07 22:00:00,0
167,2020-10-07 23:00:00,-16
168,2020-10-08 00:00:00,-33
169,2020-10-08 01:00:00,-62
170,2020-10-08 02:00:00,0
171,2020-10-08 03:00:00,0
172,2020-10-08 04:00:00,21
173,2020-10-08 05:00:00,-8
174,2020-10-08 06:00:00,0
175,2020-10-08 07:00:00,-6
176,2020-10-08 08:00:00,1
177,2020-10-08 09:00:00,-3
178,2020-10-08 10:00:00,0
179,2020-10-08 11:00:00,-4
180,2020-10-08 12:00:00,-1
181,2020-10-08 13:00:00,0
182,2020-10-08 14:00:00,3
183,2020-10-08 15:00:00,1
184,2020-10-08 16:00:00,-4
185,2020-10-08 17:00:00,-1
186,2020-10-08 18:00:00,-1
187,2020-10-08 19:00:00,-1
188,2020-10-08 20:00:00,7
189,2020-10-08 21:00:00,19
190,2020-10-08 22:00:00,22
191,2020-10-08 23:00:00,25
192,2020-10-09 00:00:00,0
193,2020-10-09 01:00:00,0
194,2020-10-09 02:00:00,100
195,2020-10-09 03:00:00,0
196,2020-10-09 04:00:00,-12
197,2020-10-09 05:00:00,0
198,2020-10-09 06:00:00,-3
199,2020-10-09 07:00:00,-2
200,2020-10-09 08:00:00,-5
201,2020-10-09 09:00:00,7
202,2020-10-09 10:00:00,6
203,2020-10-09 11:00:00,0
204,2020-10-09 12:00:00,0
205,2020-10-09 13:00:00,4
206,2020-10-09 14:00:00,-4
207,2020-10-09 15:00:00,1
208,2020-10-09 16:00:00,-3
209,2020-10-09 17:00:00,3
210,2020-10-09 18:00:00,11
211,2020-10-09 19:00:00,0
212,2020-10-09 20:00:00,-8
213,2020-10-09 21:00:00,-13
214,2020-10-09 22:00:00,5
215,2020-10-09 23:00:00,8
216,2020-10-10 00:00:00,42
217,2020-10-10 01:00:00,0
218,2020-10-10 02:00:00,-60
219,2020-10-10 03:00:00,0
220,2020-10-10 04:00:00,-9
221,2020-10-10 05:00:00,12
222,2020-10-10 06:00:00,5
223,2020-10-10 07:00:00,5
224,2020-10-10 08:00:00,19
225,2020-10-10 09:00:00,-1
226,2020-10-10 10:00:00,3
227,2020-10-10 11:00:00,-3
228,2020-10-10 12:00:00,7
229,2020-10-10 13:00:00,5
230,2020-10-10 14:00:00,3
231,2020-10-10 15:00:00,-5
232,2020-10-10 16:00:00,4
233,2020-10-10 17:00:00,7
234,2020-10-10 18:00:00,-13
235,2020-10-10 19:00:00,2
236,2020-10-10 20:00:00,3
237,2020-10-10 21:00:00,-8
238,2020-10-10 22:00:00,-13
239,2020-10-10 23:00:00,-33
240,2020-10-11 00:00:00,-54
241,2020-10-11 01:00:00,100
242,2020-10-11 02:00:00,-51
243,2020-10-11 03:00:00,52
244,2020-10-11 04:00:00,0
245,2020-10-11 05:00:00,-15
246,2020-10-11 06:00:00,-6
247,2020-10-11 07:00:00,-4
248,2020-10-11 08:00:00,-32
249,2020-10-11 09:00:00,3
250,2020-10-11 10:00:00,-6
251,2020-10-11 11:00:00,11
252,2020-10-11 12:00:00,-2
253,2020-10-11 13:00:00,-5
254,2020-10-11 14:00:00,-8
255,2020-10-11 15:00:00,3
256,2020-10-11 16:00:00,-16
