,date,value
0,2020-10-01 00:00:00,23
1,2020-10-01 01:00:00,36
2,2020-10-01 02:00:00,38
3,2020-10-01 03:00:00,-45
4,2020-10-01 04:00:00,-14
5,2020-10-01 05:00:00,-7
6,2020-10-01 06:00:00,4
7,2020-10-01 07:00:00,1
8,2020-10-01 08:00:00,0
9,2020-10-01 09:00:00,1
10,2020-10-01 10:00:00,-5
11,2020-10-01 11:00:00,4
12,2020-10-01 12:00:00,1
13,2020-10-01 13:00:00,4
14,2020-10-01 14:00:00,3
15,2020-10-01 15:00:00,0
16,2020-10-01 16:00:00,0
17,2020-10-01 17:00:00,0
18,2020-10-01 18:00:00,2
19,2020-10-01 19:00:00,4
20,2020-10-01 20:00:00,1
21,2020-10-01 21:00:00,-3
22,2020-10-01 22:00:00,-11
23,2020-10-01 23:00:00,13
24,2020-10-02 00:00:00,34
25,2020-10-02 01:00:00,-37
26,2020-10-02 02:00:00,16
27,2020-10-02 03:00:00,-55
28,2020-10-02 04:00:00,0
29,2020-10-02 05:00:00,-6
30,2020-10-02 06:00:00,-4
31,2020-10-02 07:00:00,-3
32,2020-10-02 08:00:00,-1
33,2020-10-02 09:00:00,-6
34,2020-10-02 10:00:00,0
35,2020-10-02 11:00:00,-1
36,2020-10-02 12:00:00,1
37,2020-10-02 13:00:00,-8
38,2020-10-02 14:00:00,-3
39,2020-10-02 15:00:00,7
40,2020-10-02 16:00:00,2
41,2020-10-02 17:00:00,-1
42,2020-10-02 18:00:00,-5
43,2020-10-02 19:00:00,-4
44,2020-10-02 20:00:00,-4
45,2020-10-02 21:00:00,0
46,2020-10-02 22:00:00,0
47,2020-10-02 23:00:00,1
48,2020-10-03 00:00:00,-58
49,2020-10-03 01:00:00,0
50,2020-10-03 02:00:00,-55
51,2020-10-03 03:00:00,0
52,2020-10-03 04:00:00,0
53,2020-10-03 05:00:00,17
54,2020-10-03 06:00:00,8
55,2020-10-03 07:00:00,6
56,2020-10-03 08:00:00,6
57,2020-10-03 09:00:00,8
58,2020-10-03 10:00:00,6
59,2020-10-03 11:00:00,0
60,2020-10-03 12:00:00,1
61,2020-10-03 13:00:00,6
62,2020-10-03 14:00:00,0
63,2020-10-03 15:00:00,-7
64,2020-10-03 16:00:00,-6
65,2020-10-03 17:00:00,2
66,2020-10-03 18:00:00,2
67,2020-10-03 19:00:00,-2
68,2020-10-03 20:00:00,0
69,2020-10-03 21:00:00,-4
70,2020-10-03 22:00:00,12
71,2020-10-03 23:00:00,-6
72,2020-10-04 00:00:00,0
73,2020-10-04 01:00:00,0
74,2020-10-04 02:00:00,0
75,2020-10-04 03:00:00,0
76,2020-10-04 04:00:00,0
77,2020-10-04 05:00:00,-6
78,2020-10-04 06:00:00,-8
79,2020-10-04 07:00:00,-2
80,2020-10-04 08:00:00,-2
81,2020-10-04 09:00:00,-8
82,2020-10-04 10:00:00,-8
83,2020-10-04 11:00:00,4
84,2020-10-04 12:00:00,-6
85,2020-10-04 13:00:00,0
86,2020-10-04 14:00:00,-3
87,2020-10-04 15:00:00,5
88,2020-10-04 16:00:00,4
89,2020-10-04 17:00:00,1
90,2020-10-04 18:00:00,-2
91,2020-10-04 19:00:00,4
92,2020-10-04 20:00:00,3
93,2020-10-04 21:00:00,7
94,2020-10-04 22:00:00,-12
95,2020-10-04 23:00:00,5
96,2020-10-05 00:00:00,24
97,2020-10-05 01:00:00,44
98,2020-10-05 02:00:00,100
99,2020-10-05 03:00:00,0
100,2020-10-05 04:00:00,13
101,2020-10-05 05:00:00,5
102,2020-10-05 06:00:00,0
103,2020-10-05 07:00:00,0
104,2020-10-05 08:00:00,-7
105,2020-10-05 09:00:00,0
106,2020-10-05 10:00:00,2
