,date,value
0,2020-10-01 00:00:00,-6
1,2020-10-01 01:00:00,-12
2,2020-10-01 02:00:00,-13
3,2020-10-01 03:00:00,16
4,2020-10-01 04:00:00,-6
5,2020-10-01 05:00:00,1
6,2020-10-01 06:00:00,3
7,2020-10-01 07:00:00,-1
8,2020-10-01 08:00:00,-2
9,2020-10-01 09:00:00,-2
10,2020-10-01 10:00:00,-1
11,2020-10-01 11:00:00,3
12,2020-10-01 12:00:00,-2
13,2020-10-01 13:00:00,1
14,2020-10-01 14:00:00,-1
15,2020-10-01 15:00:00,4
16,2020-10-01 16:00:00,-1
17,2020-10-01 17:00:00,-6
18,2020-10-01 18:00:00,-2
19,2020-10-01 19:00:00,3
20,2020-10-01 20:00:00,-2
21,2020-10-01 21:00:00,-2
22,2020-10-01 22:00:00,-5
23,2020-10-01 23:00:00,9
24,2020-10-02 00:00:00,-4
25,2020-10-02 01:00:00,-4
26,2020-10-02 02:00:00,100
27,2020-10-02 03:00:00,-3
28,2020-10-02 04:00:00,5
29,2020-10-02 05:00:00,-1
30,2020-10-02 06:00:00,2
31,2020-10-02 07:00:00,2
32,2020-10-02 08:00:00,3
33,2020-10-02 09:00:00,2
34,2020-10-02 10:00:00,2
35,2020-10-02 11:00:00,-3
36,2020-10-02 12:00:00,3
37,2020-10-02 13:00:00,-1
38,2020-10-02 14:00:00,3
39,2020-10-02 15:00:00,-3
40,2020-10-02 16:00:00,-3
41,2020-10-02 17:00:00,8
42,2020-10-02 18:00:00,3
43,2020-10-02 19:00:00,-2
44,2020-10-02 20:00:00,10
45,2020-10-02 21:00:00,3
46,2020-10-02 22:00:00,2
47,2020-10-02 23:00:00,-9
48,2020-10-03 00:00:00,-16
49,2020-10-03 01:00:00,-7
50,2020-10-03 02:00:00,-69
51,2020-10-03 03:00:00,10
52,2020-10-03 04:00:00,14
53,2020-10-03 05:00:00,6
54,2020-10-03 06:00:00,-3
55,2020-10-03 07:00:00,4
56,2020-10-03 08:00:00,-2
57,2020-10-03 09:00:00,0
58,2020-10-03 10:00:00,1
59,2020-10-03 11:00:00,4
60,2020-10-03 12:00:00,1
61,2020-10-03 13:00:00,4
62,2020-10-03 14:00:00,-2
63,2020-10-03 15:00:00,-2
64,2020-10-03 16:00:00,3
65,2020-10-03 17:00:00,-3
66,2020-10-03 18:00:00,-1
67,2020-10-03 19:00:00,-3
68,2020-10-03 20:00:00,-5
69,2020-10-03 21:00:00,1
70,2020-10-03 22:00:00,4
71,2020-10-03 23:00:00,17
72,2020-10-04 00:00:00,49
73,2020-10-04 01:00:00,40
74,2020-10-04 02:00:00,-81
75,2020-10-04 03:00:00,-61
76,2020-10-04 04:00:00,23
77,2020-10-04 05:00:00,-6
78,2020-10-04 06:00:00,16
79,2020-10-04 07:00:00,-7
80,2020-10-04 08:00:00,8
81,2020-10-04 09:00:00,0
82,2020-10-04 10:00:00,-3
83,2020-10-04 11:00:00,4
84,2020-10-04 12:00:00,-3
85,2020-10-04 13:00:00,-13
86,2020-10-04 14:00:00,-4
87,2020-10-04 15:00:00,4
88,2020-10-04 16:00:00,1
89,2020-10-04 17:00:00,-1
90,2020-10-04 18:00:00,-10
91,2020-10-04 19:00:00,2
92,2020-10-04 20:00:00,3
93,2020-10-04 21:00:00,3
94,2020-10-04 22:00:00,-1
95,2020-10-04 23:00:00,-10
96,2020-10-05 00:00:00,-15
97,2020-10-05 01:00:00,-79
98,2020-10-05 02:00:00,0
99,2020-10-05 03:00:00,0
100,2020-10-05 04:00:00,-59
101,2020-10-05 05:00:00,-6
102,2020-10-05 06:00:00,-11
103,2020-10-05 07:00:00,-13
104,2020-10-05 08:00:00,-6
105,2020-10-05 09:00:00,-12
106,2020-10-05 10:00:00,-7
107,2020-10-05 11:00:00,-12
108,2020-10-05 12:00:00,-5
109,2020-10-05 13:00:00,-3
110,2020-10-05 14:00:00,3
111,2020-10-05 15:00:00,-6
112,2020-10-05 16:00:00,2
113,2020-10-05 17:00:00,4
114,2020-10-05 18:00:00,15
115,2020-10-05 19:00:00,0
116,2020-10-05 20:00:00,-11
117,2020-10-05 21:00:00,7
118,2020-10-05 22:00:00,21
119,2020-10-05 23:00:00,-2
120,2020-10-06 00:00:00,42
121,2020-10-06 01:00:00,76
122,2020-10-06 02:00:00,57
123,2020-10-06 03:00:00,0
124,2020-10-06 04:00:00,10
125,2020-10-06 05:00:00,-2
126,2020-10-06 06:00:00,1
127,2020-10-06 07:00:00,-6
128,2020-10-06 08:00:00,-4
129,2020-10-06 09:00:00,7
130,2020-10-06 10:00:00,2
131,2020-10-06 11:00:00,1
132,2020-10-06 12:00:00,-3
133,2020-10-06 13:00:00,3
134,2020-10-06 14:00:00,-4
135,2020-10-06 15:00:00,-1
136,2020-10-06 16:00:00,-7
137,2020-10-06 17:00:00,2
138,2020-10-06 18:00:00,-3
139,2020-10-06 19:00:00,5
140,2020-10-06 20:00:00,-2
141,2020-10-06 21:00:00,1
142,2020-10-06 22:00:00,-14
143,2020-10-06 23:00:00,-25
144,2020-10-07 00:00:00,-26
145,2020-10-07 01:00:00,-76
146,2020-10-07 02:00:00,18
147,2020-10-07 03:00:00,42
148,2020-10-07 04:00:00,-14
149,2020-10-07 05:00:00,14
150,2020-10-07 06:00:00,-1
151,2020-10-07 07:00:00,3
152,2020-10-07 08:00:00,-6
153,2020-10-07 09:00:00,6
154,2020-10-07 10:00:00,2
155,2020-10-07 11:00:00,4
156,2020-10-07 12:00:00,0
157,2020-10-07 13:00:00,3
158,2020-10-07 14:00:00,17
159,2020-10-07 15:00:00,9
160,2020-10-07 16:00:00,5
161,2020-10-07 17:00:00,2
162,2020-10-07 18:00:00,-8
163,2020-10-07 19:00:00,-1
164,2020-10-07 20:00:00,4
165,2020-10-07 21:00:00,-1
166,2020-10-07 22:00:00,5
167,2020-10-07 23:00:00,23
168,2020-10-08 00:00:00,-42
169,2020-10-08 01:00:00,0
170,2020-10-08 02:00:00,-75
171,2020-10-08 03:00:00,-42
172,2020-10-08 04:00:00,4
173,2020-10-08 05:00:00,-2
174,2020-10-08 06:00:00,-2
175,2020-10-08 07:00:00,5
176,2020-10-08 08:00:00,6
177,2020-10-08 09:00:00,-9
178,2020-10-08 10:00:00,-3
179,2020-10-08 11:00:00,-9
180,2020-10-08 12:00:00,2
181,2020-10-08 13:00:00,-4
182,2020-10-08 14:00:00,-12
183,2020-10-08 15:00:00,-3
184,2020-10-08 16:00:00,-9
185,2020-10-08 17:00:00,-11
186,2020-10-08 18:00:00,1
187,2020-10-08 19:00:00,-9
188,2020-10-08 20:00:00,-4
189,2020-10-08 21:00:00,-7
190,2020-10-08 22:00:00,-27
191,2020-10-08 23:00:00,-23
192,2020-10-09 00:00:00,18
193,2020-10-09 01:00:00,55
194,2020-10-09 02:00:00,26
195,2020-10-09 03:00:00,0
196,2020-10-09 04:00:00,7
197,2020-10-09 05:00:00,-12
198,2020-10-09 06:00:00,3
199,2020-10-09 07:00:00,5
200,2020-10-09 08:00:00,13
201,2020-10-09 09:00:00,2
202,2020-10-09 10:00:00,5
203,2020-10-09 11:00:00,12
204,2020-10-09 12:00:00,9
205,2020-10-09 13:00:00,16
206,2020-10-09 14:00:00,6
207,2020-10-09 15:00:00,0
208,2020-10-09 16:00:00,5
209,2020-10-09 17:00:00,14
210,2020-10-09 18:00:00,2
211,2020-10-09 19:00:00,13
212,2020-10-09 20:00:00,5
213,2020-10-09 21:00:00,-2
214,2020-10-09 22:00:00,21
215,2020-10-09 23:00:00,41
216,2020-10-10 00:00:00,29
217,2020-10-10 01:00:00,18
218,2020-10-10 02:00:00,-26
219,2020-10-10 03:00:00,59
220,2020-10-10 04:00:00,33
221,2020-10-10 05:00:00,-19
222,2020-10-10 06:00:00,8
223,2020-10-10 07:00:00,-5
224,2020-10-10 08:00:00,-11
225,2020-10-10 09:00:00,6
226,2020-10-10 10:00:00,4
227,2020-10-10 11:00:00,-5
228,2020-10-10 12:00:00,-4
229,2020-10-10 13:00:00,-3
230,2020-10-10 14:00:00,0
231,2020-10-10 15:00:00,4
232,2020-10-10 16:00:00,3
233,2020-10-10 17:00:00,6
234,2020-10-10 18:00:00,0
235,2020-10-10 19:00:00,-8
236,2020-10-10 20:00:00,0
237,2020-10-10 21:00:00,18
238,2020-10-10 22:00:00,17
239,2020-10-10 23:00:00,-18
240,2020-10-11 00:00:00,-25
241,2020-10-11 01:00:00,-73
242,2020-10-11 02:00:00,68
243,2020-10-11 03:00:00,-59
244,2020-10-11 04:00:00,39
245,2020-10-11 05:00:00,13
246,2020-10-11 06:00:00,12
247,2020-10-11 07:00:00,4
248,2020-10-11 08:00:00,9
249,2020-10-11 09:00:00,-2
250,2020-10-11 10:00:00,-2
251,2020-10-11 11:00:00,-2
252,2020-10-11 12:00:00,-2
253,2020-10-11 13:00:00,-9
254,2020-10-11 14:00:00,-7
255,2020-10-11 15:00:00,-5
256,2020-10-11 16:00:00,16
257,2020-10-11 17:00:00,-11
258,2020-10-11 18:00:00,-4
259,2020-10-11 19:00:00,2
260,2020-10-11 20:00:00,9
261,2020-10-11 21:00:00,-10
262,2020-10-11 22:00:00,-6
263,2020-10-11 23:00:00,1
264,2020-10-12 00:00:00,-22
265,2020-10-12 01:00:00,0
266,2020-10-12 02:00:00,-68
267,2020-10-12 03:00:00,0
268,2020-10-12 04:00:00,-100
269,2020-10-12 05:00:00,6
270,2020-10-12 06:00:00,-21
271,2020-10-12 07:00:00,6
272,2020-10-12 08:00:00,-11
273,2020-10-12 09:00:00,-3
274,2020-10-12 10:00:00,-4
275,2020-10-12 11:00:00,2
276,2020-10-12 12:00:00,-7
277,2020-10-12 13:00:00,-2
278,2020-10-12 14:00:00,7
279,2020-10-12 15:00:00,-1
280,2020-10-12 16:00:00,-22
281,2020-10-12 17:00:00,2
282,2020-10-12 18:00:00,6
283,2020-10-12 19:00:00,2
284,2020-10-12 20:00:00,-4
285,2020-10-12 21:00:00,-7
286,2020-10-12 22:00:00,10
287,2020-10-12 23:00:00,12
288,2020-10-13 00:00:00,29
289,2020-10-13 01:00:00,100
290,2020-10-13 02:00:00,0
291,2020-10-13 03:00:00,0
292,2020-10-13 04:00:00,33
293,2020-10-13 05:00:00,-24
294,2020-10-13 06:00:00,10
295,2020-10-13 07:00:00,-20
296,2020-10-13 08:00:00,-8
297,2020-10-13 09:00:00,2
298,2020-10-13 10:00:00,7
299,2020-10-13 11:00:00,0
300,2020-10-13 12:00:00,11
301,2020-10-13 13:00:00,0
302,2020-10-13 14:00:00,-4
303,2020-10-13 15:00:00,-2
304,2020-10-13 16:00:00,11
305,2020-10-13 17:00:00,5
306,2020-10-13 18:00:00,11
307,2020-10-13 19:00:00,5
308,2020-10-13 20:00:00,-10
309,2020-10-13 21:00:00,14
