,date,value
0,2020-10-01 00:00:00,0
1,2020-10-01 01:00:00,-100
2,2020-10-01 02:00:00,21
3,2020-10-01 03:00:00,-33
4,2020-10-01 04:00:00,19
5,2020-10-01 05:00:00,5
6,2020-10-01 06:00:00,0
7,2020-10-01 07:00:00,4
8,2020-10-01 08:00:00,2
9,2020-10-01 09:00:00,-2
10,2020-10-01 10:00:00,2
11,2020-10-01 11:00:00,-1
12,2020-10-01 12:00:00,-1
13,2020-10-01 13:00:00,-4
14,2020-10-01 14:00:00,-4
15,2020-10-01 15:00:00,0
16,2020-10-01 16:00:00,-4
17,2020-10-01 17:00:00,-3
18,2020-10-01 18:00:00,0
19,2020-10-01 19:00:00,0
20,2020-10-01 20:00:00,1
21,2020-10-01 21:00:00,0
22,2020-10-01 22:00:00,18
23,2020-10-01 23:00:00,10
24,2020-10-02 00:00:00,0
25,2020-10-02 01:00:00,0
26,2020-10-02 02:00:00,-20
27,2020-10-02 03:00:00,0
28,2020-10-02 04:00:00,-19
29,2020-10-02 05:00:00,-5
30,2020-10-02 06:00:00,0
31,2020-10-02 07:00:00,-1
32,2020-10-02 08:00:00,0
33,2020-10-02 09:00:00,-3
34,2020-10-02 10:00:00,0
35,2020-10-02 11:00:00,2
36,2020-10-02 12:00:00,-3
37,2020-10-02 13:00:00,5
38,2020-10-02 14:00:00,6
39,2020-10-02 15:00:00,3
40,2020-10-02 16:00:00,2
41,2020-10-02 17:00:00,9
42,2020-10-02 18:00:00,2
43,2020-10-02 19:00:00,5
44,2020-10-02 20:00:00,-3
45,2020-10-02 21:00:00,5
46,2020-10-02 22:00:00,-19
47,2020-10-02 23:00:00,-45
48,2020-10-03 00:00:00,-33
49,2020-10-03 01:00:00,77
50,2020-10-03 02:00:00,0
51,2020-10-03 03:00:00,0
52,2020-10-03 04:00:00,0
53,2020-10-03 05:00:00,0
54,2020-10-03 06:00:00,0
55,2020-10-03 07:00:00,-3
56,2020-10-03 08:00:00,9
57,2020-10-03 09:00:00,0
58,2020-10-03 10:00:00,-2
59,2020-10-03 11:00:00,1
60,2020-10-03 12:00:00,6
61,2020-10-03 13:00:00,-5
62,2020-10-03 14:00:00,-4
63,2020-10-03 15:00:00,-3
64,2020-10-03 16:00:00,-5
65,2020-10-03 17:00:00,-9
66,2020-10-03 18:00:00,2
67,2020-10-03 19:00:00,-2
68,2020-10-03 20:00:00,6
69,2020-10-03 21:00:00,-9
70,2020-10-03 22:00:00,0
71,2020-10-03 23:00:00,0
72,2020-10-04 00:00:00,0
73,2020-10-04 01:00:00,-77
74,2020-10-04 02:00:00,0
75,2020-10-04 03:00:00,0
76,2020-10-04 04:00:00,0
77,2020-10-04 05:00:00,0
78,2020-10-04 06:00:00,0
79,2020-10-04 07:00:00,9
80,2020-10-04 08:00:00,-9
81,2020-10-04 09:00:00,0
82,2020-10-04 10:00:00,4
83,2020-10-04 11:00:00,-5
84,2020-10-04 12:00:00,-4
85,2020-10-04 13:00:00,0
86,2020-10-04 14:00:00,1
87,2020-10-04 15:00:00,3
88,2020-10-04 16:00:00,2
89,2020-10-04 17:00:00,3
90,2020-10-04 18:00:00,-4
91,2020-10-04 19:00:00,-3
92,2020-10-04 20:00:00,-3
93,2020-10-04 21:00:00,4
94,2020-10-04 22:00:00,6
95,2020-10-04 23:00:00,0
96,2020-10-05 00:00:00,0
97,2020-10-05 01:00:00,65
98,2020-10-05 02:00:00,0
99,2020-10-05 03:00:00,0
100,2020-10-05 04:00:00,0
101,2020-10-05 05:00:00,0
102,2020-10-05 06:00:00,7
103,2020-10-05 07:00:00,-9
104,2020-10-05 08:00:00,2
105,2020-10-05 09:00:00,0
106,2020-10-05 10:00:00,-2
107,2020-10-05 11:00:00,0
108,2020-10-05 12:00:00,2
109,2020-10-05 13:00:00,0
110,2020-10-05 14:00:00,-3
111,2020-10-05 15:00:00,-3
112,2020-10-05 16:00:00,1
113,2020-10-05 17:00:00,5
114,2020-10-05 18:00:00,0
115,2020-10-05 19:00:00,2
116,2020-10-05 20:00:00,-3
117,2020-10-05 21:00:00,-7
118,2020-10-05 22:00:00,-6
119,2020-10-05 23:00:00,0
120,2020-10-06 00:00:00,0
121,2020-10-06 01:00:00,-65
122,2020-10-06 02:00:00,0
123,2020-10-06 03:00:00,19
124,2020-10-06 04:00:00,0
125,2020-10-06 05:00:00,0
126,2020-10-06 06:00:00,0
127,2020-10-06 07:00:00,0
128,2020-10-06 08:00:00,0
129,2020-10-06 09:00:00,0
130,2020-10-06 10:00:00,-2
131,2020-10-06 11:00:00,0
132,2020-10-06 12:00:00,-4
133,2020-10-06 13:00:00,2
134,2020-10-06 14:00:00,4
135,2020-10-06 15:00:00,0
136,2020-10-06 16:00:00,2
137,2020-10-06 17:00:00,-5
