,date,value
0,2020-10-01 00:00:00,0
1,2020-10-01 01:00:00,0
2,2020-10-01 02:00:00,-52
3,2020-10-01 03:00:00,0
4,2020-10-01 04:00:00,-10
5,2020-10-01 05:00:00,2
6,2020-10-01 06:00:00,-4
7,2020-10-01 07:00:00,-1
8,2020-10-01 08:00:00,-2
9,2020-10-01 09:00:00,0
10,2020-10-01 10:00:00,-5
11,2020-10-01 11:00:00,-4
12,2020-10-01 12:00:00,0
13,2020-10-01 13:00:00,-8
14,2020-10-01 14:00:00,2
15,2020-10-01 15:00:00,-6
16,2020-10-01 16:00:00,-8
17,2020-10-01 17:00:00,-1
18,2020-10-01 18:00:00,-6
19,2020-10-01 19:00:00,4
20,2020-10-01 20:00:00,-3
21,2020-10-01 21:00:00,13
22,2020-10-01 22:00:00,-13
23,2020-10-01 23:00:00,-16
24,2020-10-02 00:00:00,0
25,2020-10-02 01:00:00,0
26,2020-10-02 02:00:00,-9
27,2020-10-02 03:00:00,0
28,2020-10-02 04:00:00,17
29,2020-10-02 05:00:00,-13
30,2020-10-02 06:00:00,0
31,2020-10-02 07:00:00,8
32,2020-10-02 08:00:00,-1
33,2020-10-02 09:00:00,6
34,2020-10-02 10:00:00,4
35,2020-10-02 11:00:00,7
36,2020-10-02 12:00:00,6
37,2020-10-02 13:00:00,11
38,2020-10-02 14:00:00,-3
39,2020-10-02 15:00:00,3
40,2020-10-02 16:00:00,-4
41,2020-10-02 17:00:00,-2
42,2020-10-02 18:00:00,8
43,2020-10-02 19:00:00,2
44,2020-10-02 20:00:00,4
45,2020-10-02 21:00:00,-10
46,2020-10-02 22:00:00,-6
47,2020-10-02 23:00:00,0
48,2020-10-03 00:00:00,15
49,2020-10-03 01:00:00,41
50,2020-10-03 02:00:00,-49
51,2020-10-03 03:00:00,0
52,2020-10-03 04:00:00,8
53,2020-10-03 05:00:00,21
54,2020-10-03 06:00:00,0
55,2020-10-03 07:00:00,3
56,2020-10-03 08:00:00,4
57,2020-10-03 09:00:00,9
58,2020-10-03 10:00:00,6
59,2020-10-03 11:00:00,6
60,2020-10-03 12:00:00,-7
61,2020-10-03 13:00:00,1
62,2020-10-03 14:00:00,0
63,2020-10-03 15:00:00,-5
64,2020-10-03 16:00:00,5
65,2020-10-03 17:00:00,-11
66,2020-10-03 18:00:00,-5
67,2020-10-03 19:00:00,-2
68,2020-10-03 20:00:00,-2
69,2020-10-03 21:00:00,5
70,2020-10-03 22:00:00,-8
71,2020-10-03 23:00:00,0
72,2020-10-04 00:00:00,-15
73,2020-10-04 01:00:00,26
74,2020-10-04 02:00:00,0
75,2020-10-04 03:00:00,0
76,2020-10-04 04:00:00,-25
