Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
Berlin,04/03/2021 01:00:00,5.8,5.8,5.8,3.1,83.31,,20.8,,306.0,1.9,0.0,,0.0,33.5,,1017.7,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 02:00:00,5.6,5.6,5.6,2.9,83.24,,19.7,,317.0,1.8,0.0,,0.0,25.7,,1017.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 03:00:00,5.0,5.0,5.0,2.3,82.88,,19.3,,317.0,1.2,0.0,,0.0,33.0,13.0,1017.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 04:00:00,4.1,4.1,4.1,1.9,85.37,,17.4,,326.0,0.3,0.0,,0.0,32.6,11.9,1018.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 05:00:00,3.5,3.5,3.5,1.5,86.36,,16.2,,320.0,-0.2,0.0,,0.0,32.5,0.0,1018.6,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 06:00:00,3.0,3.0,3.0,1.1,87.54,,16.1,,319.0,-0.9,0.0,,0.0,20.9,11.9,1019.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 07:00:00,2.5,2.5,2.5,0.8,88.67,,16.4,,318.0,-1.5,0.0,,0.0,21.1,13.0,1019.4,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 08:00:00,3.4,3.4,3.4,1.3,85.81,,18.9,,318.0,-0.8,0.0,,0.0,22.1,,1020.1,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 09:00:00,4.8,4.8,4.8,0.6,74.08,,21.5,,333.0,0.7,0.0,,0.0,30.1,,1020.9,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
Berlin,04/03/2021 10:00:00,6.6,6.6,6.6,-0.4,60.81,,22.4,,321.0,2.8,0.0,,0.0,36.8,11.7,1021.2,,52.516,13.3769,"Berlin, Deutschland","Berlin, Deutschland",,Clear
