,Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
0,Bremen,09/30/2020 00:00:00,13.2,13.2,13.2,12.4,95.09,,4.7,,200.0,,0.0,,0.0,8.0,,1016.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
1,Bremen,09/30/2020 01:00:00,13.2,13.2,13.2,12.7,96.86,,6.5,,230.0,,0.0,,0.0,5.0,,1016.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
2,Bremen,09/30/2020 02:00:00,13.2,13.2,13.2,12.6,96.28,,3.6,,230.0,,0.0,,0.0,7.0,,1016.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
3,Bremen,09/30/2020 03:00:00,13.2,13.2,13.2,12.7,96.88,,5.0,,140.0,,0.0,,0.0,6.0,,1016.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
4,Bremen,09/30/2020 04:00:00,13.3,13.3,13.3,12.7,95.7,,7.9,,130.0,,0.0,,0.0,6.0,,1016.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
5,Bremen,09/30/2020 05:00:00,13.1,13.1,13.1,12.9,98.13,,7.9,,160.0,,0.0,,0.0,1.0,,1015.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
6,Bremen,09/30/2020 06:00:00,13.3,13.3,13.3,13.0,98.11,,6.5,,210.0,,0.0,,0.0,2.0,,1015.9,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
7,Bremen,09/30/2020 07:00:00,13.1,13.1,13.1,12.6,96.96,,6.5,,210.0,,0.0,,0.0,4.0,,1015.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
8,Bremen,09/30/2020 08:00:00,12.7,12.7,12.7,12.2,96.92,,7.2,,140.0,,0.0,,0.0,3.0,,1015.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
9,Bremen,09/30/2020 09:00:00,13.5,13.5,13.5,12.7,94.49,,9.4,,130.0,,0.0,,0.0,3.0,,1016.1,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
10,Bremen,09/30/2020 10:00:00,13.7,13.7,13.7,12.6,93.24,,10.8,,160.0,,0.0,,0.0,5.0,,1016.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
11,Bremen,09/30/2020 11:00:00,14.4,14.4,14.4,12.2,86.81,,13.7,,140.0,,0.0,,0.0,7.0,,1015.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
12,Bremen,09/30/2020 12:00:00,15.7,15.7,15.7,12.7,82.39,,14.0,,160.0,,0.0,,0.0,8.0,,1015.4,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
13,Bremen,09/30/2020 13:00:00,17.1,17.1,17.1,13.2,77.39,,11.9,,190.0,,0.0,,0.0,11.0,,1015.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
14,Bremen,09/30/2020 14:00:00,17.7,17.7,17.7,13.7,77.4,,7.2,,200.0,,0.0,,0.0,15.0,,1015.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
15,Bremen,09/30/2020 15:00:00,18.4,18.4,18.4,13.2,71.83,,9.7,,170.0,,0.0,,0.0,20.0,,1014.2,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
16,Bremen,09/30/2020 16:00:00,18.4,18.4,18.4,13.4,72.61,,12.9,,130.0,,0.0,,0.0,22.0,13.0,1013.7,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
17,Bremen,09/30/2020 17:00:00,19.1,19.1,19.1,12.9,67.13,,14.7,,140.0,,0.0,,0.0,22.0,,1013.3,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
18,Bremen,09/30/2020 18:00:00,18.6,18.6,18.6,12.9,69.24,,7.6,,140.0,,0.0,,0.0,25.0,,1013.0,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
19,Bremen,09/30/2020 19:00:00,17.1,17.1,17.1,12.9,76.2,,8.6,,110.0,,0.0,,0.0,25.0,0.0,1012.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
20,Bremen,09/30/2020 20:00:00,15.6,15.6,15.6,12.7,82.73,,9.3,,110.0,,0.0,,0.0,29.9,,1012.8,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
21,Bremen,09/30/2020 21:00:00,15.8,15.8,15.8,13.1,84.3,,13.6,,110.0,,0.0,,0.0,29.9,0.0,1012.6,,53.0754,8.80454,"Bremen, Deutschland","Bremen, Deutschland",,Clear
