,Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
0,Hamburg,09/30/2020 00:00:00,13.3,13.3,13.3,11.5,89.03,,11.4,,219.0,,0.05,,0.0,15.4,,1016.9,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Rain
1,Hamburg,09/30/2020 01:00:00,13.4,13.4,13.4,11.7,89.81,,7.3,,170.0,,0.0,,0.0,18.8,,1016.7,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
2,Hamburg,09/30/2020 02:00:00,13.4,13.4,13.4,12.0,91.14,,7.3,,204.0,,0.0,,0.0,18.7,,1016.7,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
3,Hamburg,09/30/2020 03:00:00,13.4,13.4,13.4,12.1,91.98,,5.7,,221.0,,0.0,,0.0,17.9,,1016.6,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
4,Hamburg,09/30/2020 04:00:00,13.2,13.2,13.2,12.3,93.74,,6.4,,206.0,,0.0,,0.0,18.1,,1016.4,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
5,Hamburg,09/30/2020 05:00:00,13.3,13.3,13.3,12.4,94.44,,6.6,,204.0,,0.0,,0.0,9.4,,1016.1,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
6,Hamburg,09/30/2020 06:00:00,13.2,13.2,13.2,12.6,96.16,,3.5,,208.0,,0.0,,0.0,7.6,,1015.8,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
7,Hamburg,09/30/2020 07:00:00,13.1,13.1,13.1,12.5,96.2,,3.3,,230.0,,0.0,,0.0,6.9,,1015.8,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
8,Hamburg,09/30/2020 08:00:00,13.3,13.3,13.3,12.2,93.16,,6.6,,157.0,,0.0,,0.0,14.4,,1016.1,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
9,Hamburg,09/30/2020 09:00:00,13.6,13.6,13.6,12.4,92.23,,3.7,,154.0,,0.0,,0.0,12.3,,1016.2,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
10,Hamburg,09/30/2020 10:00:00,14.4,14.4,14.4,12.7,89.35,,9.4,,157.0,,0.0,,0.0,11.7,,1016.3,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
11,Hamburg,09/30/2020 11:00:00,15.5,15.5,15.5,12.9,84.73,,8.9,,166.0,,0.0,,0.0,13.9,,1016.3,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
12,Hamburg,09/30/2020 12:00:00,16.7,16.7,16.7,13.1,79.22,,9.9,,147.0,,0.0,,0.0,15.8,,1016.1,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
13,Hamburg,09/30/2020 13:00:00,17.4,17.4,17.4,12.9,74.71,,10.5,,161.0,,0.0,,0.0,31.9,,1015.7,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
14,Hamburg,09/30/2020 14:00:00,18.6,18.6,18.6,13.1,70.04,,9.9,,134.0,,0.0,,0.0,33.2,,1015.2,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
15,Hamburg,09/30/2020 15:00:00,18.0,18.0,18.0,13.2,73.15,,15.1,,124.0,,0.0,,0.0,41.3,,1014.7,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
16,Hamburg,09/30/2020 16:00:00,18.4,18.4,18.4,13.2,71.71,,9.7,,159.0,,0.0,,0.0,40.9,,1014.4,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
17,Hamburg,09/30/2020 17:00:00,18.0,18.0,18.0,13.1,72.78,,12.9,,150.0,,0.0,,0.0,40.0,,1014.0,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
18,Hamburg,09/30/2020 18:00:00,17.8,17.8,17.8,13.1,73.71,,12.3,,121.0,,0.0,,0.0,45.6,,1013.9,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
19,Hamburg,09/30/2020 19:00:00,16.5,16.5,16.5,13.0,79.43,,10.1,,103.0,,0.0,,0.0,45.0,0.0,1013.7,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
20,Hamburg,09/30/2020 20:00:00,14.8,14.8,14.8,12.7,87.1,,7.7,,87.0,,0.0,,0.0,35.5,11.1,1013.8,,53.5537,9.99183,"Hamburg, Deutschland","Hamburg, Deutschland",,Clear
